locality,Year,house_price
MELTON,2019,385000.00
MELTON SOUTH,2019,390000.00
MELTON WEST,2019,424000.00
MENTONE,2019,1028000.00
MENZIES CREEK,2019,682500.00
MERBEIN,2019,210000.00
MERINDA PARK,2019,477000.00
MERNDA,2019,552000.00
MERRIJIG (MANSFIELD),2019,422500.00
METUNG,2019,425000.00
MICKLEHAM,2019,525000.00
MIDDLE PARK,2019,2705000.00
MILDURA,2019,310000.00
MILL PARK,2019,654000.00
MILLGROVE,2019,415000.00
MINERS REST,2019,428000.00
MINYIP,2019,114500.00
MIRBOO NORTH,2019,327500.00
MITCHAM,2019,942000.00
MITCHELL PARK,2019,313000.00
MOE,2019,210000.00
MONBULK,2019,630000.00
MONT ALBERT,2019,1680000.00
MONT ALBERT NORTH,2019,1380000.00
MONTMORENCY,2019,856000.00
MONTROSE,2019,707500.00
MOONEE PONDS,2019,1300000.00
MOORABBIN,2019,1050000.00
MOOROOLBARK,2019,670000.00
MOOROOPNA,2019,249000.00
MORDIALLOC,2019,1010000.00
MORNINGTON,2019,800000.00
MORTLAKE,2019,164000.00
MORWELL,2019,180000.00
MOUNT BEAUTY,2019,294000.00
MOUNT CLEAR,2019,396500.00
MOUNT DANDENONG,2019,662000.00
MOUNT DUNEED,2019,563000.00
MOUNT ELIZA,2019,1157500.00
MOUNT EVELYN,2019,636000.00
MOUNT HELEN,2019,418500.00
MOUNT MACEDON,2019,775000.00
MOUNT MARTHA,2019,1252500.00
MOUNT PLEASANT,2019,377500.00
MOUNT WAVERLEY,2019,1267000.00
MULGRAVE,2019,840000.00
MURCHISON,2019,244500.00
MURRUMBEENA,2019,1241500.00
MURTOA,2019,119000.00
MYRTLEFORD,2019,315000.00
NAGAMBIE,2019,414000.00
NARRE WARREN,2019,590000.00
NARRE WARREN NORTH,2019,1075000.00
NARRE WARREN SOUTH,2019,625000.00
NATHALIA,2019,229000.00
NATIMUK,2019,148500.00
NEERIM SOUTH,2019,394000.00
NELSON,2019,247500.00
NERRINA,2019,617500.00
NEW GISBORNE,2019,695000.00
NEWBOROUGH,2019,256000.00
NEWCOMB,2019,435000.00
NEWINGTON,2019,495000.00
NEWLANDS ARM,2019,444000.00
NEWPORT,2019,1055000.00
NEWSTEAD,2019,436000.00
NEWTOWN (GREATER GEELONG),2019,825000.00
NHILL,2019,137000.00
NICHOLS POINT,2019,430000.00
NIDDRIE,2019,1070000.00
NOBLE PARK,2019,629000.00
NOBLE PARK NORTH,2019,610000.00
NOOJEE,2019,224000.00
NORLANE,2019,349000.00
NORTH BENDIGO,2019,325000.00
NORTH GEELONG,2019,500000.00
NORTH MELBOURNE,2019,1297500.00
NORTH WONTHAGGI,2019,389000.00
NORTHCOTE,2019,1300000.00
NOTTING HILL,2019,875500.00
NUMURKAH,2019,252500.00
NUNAWADING,2019,950000.00
NYAH WEST,2019,85000.00
NYORA,2019,370000.00
OAK PARK,2019,840000.00
OAKLEIGH,2019,1101000.00
OAKLEIGH EAST,2019,942000.00
OAKLEIGH SOUTH,2019,908000.00
OCEAN GROVE,2019,695000.00
OFFICER,2019,550000.00
OFFICER SOUTH,2019,686000.00
OLINDA,2019,748000.00
ORBOST,2019,185500.00
ORMOND,2019,1467500.00
OSBORNE,2019,780000.00
OUYEN,2019,99000.00
PAKENHAM,2019,485000.00
PARADISE BEACH,2019,200000.00
PARK ORCHARDS,2019,1460000.00
PARKDALE,2019,1155000.00
PARKVILLE,2019,1480000.00
PASCOE VALE,2019,858500.00
PASCOE VALE SOUTH,2019,950000.00
PATTERSON GARDENS,2019,920000.00
PATTERSON LAKES,2019,923000.00
PAYNESVILLE,2019,339000.00
PEARCEDALE,2019,670000.00
PENSHURST,2019,165000.00
PETERBOROUGH,2019,419000.00
PIONEER BAY,2019,310000.00
PLENTY,2019,1301000.00
POINT COOK,2019,640500.00
POINT LONSDALE,2019,827500.00
POOWONG,2019,443000.00
POREPUNKAH,2019,535000.00
PORT ALBERT,2019,250000.00
PORT FAIRY,2019,630000.00
PORT FRANKLIN,2019,302500.00
PORT MELBOURNE,2019,1375000.00
PORT WELSHPOOL,2019,315000.00
PORTARLINGTON,2019,621500.00
PORTLAND,2019,267500.00
PORTLAND NORTH,2019,276000.00
PORTSEA,2019,1950000.00
PRAHRAN,2019,1510000.00
PRESTON,2019,936500.00
PRINCES HILL,2019,2035000.00
PYRAMID HILL,2019,120000.00
QUARRY HILL,2019,395000.00
QUEENSCLIFF,2019,950000.00
RAINBOW,2019,75000.00
RAWSON,2019,156000.00
RAYMOND ISLAND,2019,300000.00
RED CLIFFS,2019,217500.00
REDAN,2019,357000.00
RESEARCH,2019,930000.00
RESERVOIR,2019,750000.00
RHYLL,2019,565000.00
RICHMOND,2019,1255000.00
RIDDELLS CREEK,2019,695000.00
RINGWOOD,2019,813500.00
RINGWOOD EAST,2019,809000.00
RINGWOOD NORTH,2019,871000.00
RIPPLESIDE,2019,810000.00
ROBINVALE,2019,225000.00
ROCHESTER,2019,255000.00
ROCKBANK,2019,497000.00
ROMSEY,2019,580500.00
ROSANNA,2019,1042500.00
ROSEBUD,2019,545000.00
ROSEBUD SOUTH,2019,682500.00
ROSEDALE,2019,247000.00
ROWVILLE,2019,820500.00
ROXBURGH PARK,2019,540000.00
RUSHWORTH,2019,197500.00
RUTHERGLEN,2019,280000.00
RYE,2019,690000.00
SAFETY BEACH,2019,785000.00
SAILORS GULLY,2019,280000.00
SALE,2019,325000.00
SAN REMO,2019,554500.00
SANCTUARY LAKES,2019,620000.00
SANDHURST,2019,815000.00
SANDRINGHAM,2019,1650000.00
SANDY POINT,2019,410000.00
SASSAFRAS,2019,805000.00
SCORESBY,2019,767000.00
SEA LAKE,2019,100000.00
SEABROOK,2019,626500.00
SEAFORD,2019,655000.00
SEAHOLME,2019,1020000.00
SEASPRAY,2019,265000.00
SEBASTOPOL,2019,315000.00
SEDDON,2019,960000.00
SELBY,2019,601500.00
SEVILLE,2019,620000.00
SEVILLE EAST,2019,580000.00
SEYMOUR,2019,300000.00
SHEPPARTON,2019,282000.00
SHEPPARTON NORTH,2019,393000.00
SHOREHAM,2019,1500000.00
SILVERLEAVES,2019,618500.00
SKENES CREEK,2019,667500.00
SKIPTON,2019,200000.00
SKYE,2019,600000.00
SMITHS BEACH,2019,624500.00
SMYTHESDALE,2019,340000.00
SOLDIERS HILL,2019,480000.00
SOMERS,2019,950000.00
SOMERVILLE,2019,600000.00
SORRENTO,2019,1465000.00
SOUTH DUDLEY,2019,339000.00
SOUTH GEELONG,2019,702500.00
SOUTH KINGSVILLE,2019,859000.00
SOUTH MELBOURNE,2019,1355000.00
SOUTH MORANG,2019,625500.00
SOUTH YARRA,2019,1767500.00
SPOTSWOOD,2019,960000.00
SPRING GULLY,2019,386500.00
SPRINGVALE,2019,743000.00
SPRINGVALE SOUTH,2019,678000.00
ST ALBANS,2019,590000.00
ST ALBANS PARK,2019,422000.00
ST ANDREWS BEACH,2019,930000.00
ST ARNAUD,2019,175000.00
ST HELENA,2019,905000.00
ST KILDA,2019,1600000.00
ST KILDA EAST,2019,1560000.00
ST KILDA WEST,2019,2078500.00
ST LEONARDS,2019,562500.00
STANHOPE,2019,174000.00
STAWELL,2019,189000.00
STRATFORD,2019,316500.00
STRATHDALE,2019,453500.00
STRATHFIELDSAYE,2019,476500.00
STRATHMERTON,2019,195000.00
STRATHMORE,2019,1310000.00
STRATHMORE HEIGHTS,2019,800000.00
STRATHTULLOH,2019,515000.00
STUDFIELD,2019,811000.00
SUNBURY,2019,535000.00
SUNDERLAND BAY,2019,412000.00
