Country,Regional indicator,Ladderscore,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Index_corruption ,corruptionindex_10
Madagascar,Sub-Saharan Africa,4.17,0.057542104,4.278382301,4.052817345,7.28,0.668,59.105,0.557574093,-0.011823639,0.817485631,81.75
Egypt,Middle East and North Africa,4.15,0.035979424,4.221919537,4.080880642,9.32,0.735,61.780,0.708354175,-0.196878314,0.787726879,78.77
Sierra Leone,Sub-Saharan Africa,3.93,0.061150789,4.046255589,3.806544304,7.27,0.636,50.865,0.715315044,0.088660747,0.861330688,86.13
Burundi,Sub-Saharan Africa,3.78,0.107122384,3.98526001,3.565340042,6.49,0.490,53.400,0.626350224,-0.017551597,0.606934547,60.69
Zambia,Sub-Saharan Africa,3.76,0.06067669,3.878326178,3.640473604,8.22,0.699,55.299,0.806500256,0.078037128,0.801289678,80.13
Haiti,Latin America and Caribbean,3.72,0.101463005,3.919667482,3.521932364,7.41,0.593,55.599,0.537825167,0.40053457,0.684767246,68.48
Lesotho,Sub-Saharan Africa,3.65,0.082120985,3.813757181,3.491842985,7.96,0.780,48.004,0.738125861,-0.145732045,0.857392073,85.74
India,South Asia,3.57,0.027702235,3.627596378,3.519003391,8.85,0.592,60.215,0.881444871,0.057551607,0.772042692,77.20
Malawi,Sub-Saharan Africa,3.54,0.070260517,3.675710678,3.400289536,7.06,0.544,57.593,0.803223193,0.021433279,0.731700778,73.17
Yemen,Middle East and North Africa,3.53,0.054158084,3.633549929,3.421250105,7.76,0.818,56.727,0.599920273,-0.157735437,0.800287724,80.03
Botswana,Sub-Saharan Africa,3.48,0.060542691,3.597563744,3.360236168,9.71,0.779,58.924,0.821328104,-0.250394493,0.777930915,77.79
Tanzania,Sub-Saharan Africa,3.48,0.06320975,3.600091219,3.352308989,7.97,0.689,57.496,0.82153976,0.109668687,0.619799435,61.98
Central African Republic,Sub-Saharan Africa,3.48,0.115182951,3.701658487,3.250141382,6.63,0.319,45.200,0.640880644,0.082410358,0.891806662,89.18
Rwanda,Sub-Saharan Africa,3.31,0.052425209,3.415053368,3.209546566,7.60,0.541,61.099,0.900589406,0.055483952,0.183541179,18.35
Zimbabwe,Sub-Saharan Africa,3.3,0.058674462,3.414201975,3.184198141,7.87,0.763,55.617,0.711457908,-0.072063953,0.81023699,81.02
South Sudan,Sub-Saharan Africa,2.82,0.107610404,3.027516365,2.605683804,7.43,0.554,51.000,0.451313615,0.016518548,0.763417304,76.34
Afghanistan,South Asia,2.57,0.031311426,2.628270388,2.505529642,7.46,0.470,52.590,0.396573007,-0.0964294,0.933686554,93.37
